url,price,title
https://www.olx.in/item/red-and-white-4g-airtel-tri-cut-sim-card-ID1fqg7J.html,599,Red And White 4G Airtel Tri-cut Sim Card
https://www.olx.in/item/black-huawei-power-fi-dongle-ID1fqe7l.html,500,Black Huawei Power-Fi Dongle
https://www.olx.in/item/white-micromax-broadband-stick-ID1fqecZ.html,500,White Micromax Broadband Stick
https://www.olx.in/item/logitech-c270-hd-webcam-ID1cG1aP.html,700,Logitech c270 HD webcam
https://www.olx.in/item/new-quantum-4-port-usb-hub-ID1fqepw.html,299,New Quantum 4 Port USB Hub
https://www.olx.in/item/3g-dongal-ID1fqedb.html,600,3G. Dongal
https://www.olx.in/item/display-table-ID1fqeoz.html,12000,Display table
https://www.olx.in/item/laptop-battery-dc-10-8-v-4800-mah-ID1fqeoN.html,1049,Laptop Battery DC 10 .8 V 4800 mAh
https://www.olx.in/item/gaming-mouse-redragon-ID1fqetz.html,1000,Gaming mouse Redragon
https://www.olx.in/item/quantum-qhmpl-group-usb-card-reader-ID1fqeq7.html,150,Quantum QHMPL GROUP USB Card Reader
https://www.olx.in/item/two-red-and-white-micromax-usb-flash-drives-ID1fqevz.html,500,Two Red And White Micromax USB Flash Drives
https://www.olx.in/item/new-hp-16-port-gigabit-switch-ID1fqeCJ.html,5200,New HP 16 Port Gigabit Switch
https://www.olx.in/item/zotac-graphic-card-ID1fqeBr.html,2500,Zotac graphic Card
https://www.olx.in/item/new-only-2-month-old-bluetooth-headphones-ID1fqeFr.html,1000,New only 2 month old Bluetooth headphones
https://www.olx.in/item/exchange-also-available-horizon-zero-down-only-ID1fqdb9.html,1200,Exchange also available. Horizon zero down. Only
https://www.olx.in/item/gray-lg-crt-tv-ID1fqgOJ.html,2200,Gray LG CRT TV
https://www.olx.in/item/black-psp-handheld-game-console-urgent-need-of-money-ID1eCIaW.html,9000,Black PSP Handheld Game Console urgent need of money
https://www.olx.in/item/white-airtel-home-phone-ID1fqeoP.html,500,White Airtel Home Phone
https://www.olx.in/item/black-master-speaker-ID1fqgGN.html,5000,Black Master Speaker
https://www.olx.in/item/samsung-speakers-hw-k20-40w-2-1-ID1fqgEW.html,4500,Samsung speakers HW-K20 40W 2.1
https://www.olx.in/item/3d-sreen-enlarger-ID1fqgI7.html,100,3d sreen enlarger
https://www.olx.in/item/1year-old-tv-for-sale-ID1fqgHr.html,28000,1year old TV for sale.
https://www.olx.in/item/black-and-white-netgear-and-baton-modem-routers-with-boxes-ID1fqgI3.html,1800,Black And White Netgear And Baton Modem Routers With Boxes
https://www.olx.in/item/1-year-old-jio-fi-device-superb-speed-4g-ID1fqhJX.html,750,1 year old ... jio fi device .. superb speed 4g
https://www.olx.in/item/mini-laptop-lcd-panel-for-sell-its-good-ID1fqgaR.html,2800,Mini laptop lcd panel for sell... Its good
https://www.olx.in/item/gas-gyser-new-sealed-ID1fqggh.html,2000,Gas gyser new sealed
https://www.olx.in/item/huawei-e3531-data-card-3g-ID1fqe5j.html,550,Huawei E3531 Data Card 3g
https://www.olx.in/item/internet-dongle-works-with-any-net-work-plug-n-play-memory-card-slot-ID1dsp5J.html,799,"Internet dongle works with any net work,Plug n play, Memory card slot"
https://www.olx.in/item/r7-250-1gb-vram-ID1fqgoJ.html,3600,R7 250 1gb vram
https://www.olx.in/item/amplifier-dj-94125599-19-ID1fqglN.html,3200,Amplifier DJ 94125599.19
https://www.olx.in/item/w2k18-game-ID1fqddw.html,250,W2K18 Game
https://www.olx.in/item/4th-gen-i3-3-4ghz-cpu-ID1a1Otr.html,11000,4th gen i3 3.4ghz CPU
https://www.olx.in/item/6-month-old-a-new-un-tach-mg-16xu-yanha-mixer-ID1fqdhP.html,24000,6 month old a new un tach mg 16xu yanha mixer
https://www.olx.in/item/uncharted-4-a-thiefs-end-ps4-game-case-ID1fqdqJ.html,1400,Uncharted 4 A Thief's End PS4 Game Case
https://www.olx.in/item/speakers-with-amplifier-bought-in-dubai-in-2012-ID1fqh8f.html,10000,Speakers with amplifier. Bought in Dubai in 2012
https://www.olx.in/item/vr-headset-ID1fqdtB.html,1200,Vr headset
https://www.olx.in/item/psp-with-8gb-memery-card-charger-a-one-candition-ID1fqdjD.html,2700,Psp with 8gb memery card charger a one candition
https://www.olx.in/item/ps3-slim-for-sale-ID1fqdgb.html,9000,Ps3 slim for sale
https://www.olx.in/item/sound-system-ID1fqgit.html,13000,Sound system
https://www.olx.in/item/intex-home-theater-ID1fb26B.html,3500,Intex Home Theater
https://www.olx.in/item/black-flat-screen-tv-ID1fqggF.html,12500,Black Flat Screen TV
https://www.olx.in/item/philips-juicer-brand-new-not-used-at-all-some1-ID1eUwpw.html,1000,Philips juicer brand new ..not used at all..some1
https://www.olx.in/item/42-black-sony-flat-screen-tv-smart-ID1eJzeF.html,20999,"42""Black Sony Flat Screen TV smart"
https://www.olx.in/item/hi-power-dj-sound-system-2400-what-top-base-ID1fqgiw.html,225000,"Hi power, DJ sound system. 2400 What top base"
https://www.olx.in/item/black-and-gray-crt-tv-ID1fqgiP.html,4500,Black And Gray CRT TV
https://www.olx.in/item/40-inch-samsung-sony-panel-led-tv-only-17999-ID1fqgjH.html,17999,"40 inch samsung sony panel led tv only 17999,"
https://www.olx.in/item/sanyo-43-inch-full-hd-led-tv-9-months-old-ID1fqgi3.html,21000,Sanyo 43 inch full hd led tv - 9 months old
https://www.olx.in/item/black-philips-5-1-multimedia-speaker-with-remote-ID1fqgl9.html,2000,Black Philips 5.1 Multimedia Speaker With Remote
https://www.olx.in/item/bhai-nya-hyundai-music-system-h-0-time-use-ID1fqgjr.html,15000,Bhai nya hyundai music system h 0 time use
https://www.olx.in/item/black-crt-tv-ID1fqgjx.html,2000,Black CRT TV
https://www.olx.in/item/computer-is-in-very-good-condition-with-table-it-ID1fqgjp.html,26000,Computer is in very good condition with table. It
https://www.olx.in/item/apple-ipod-shuffle-2gb-just-like-new-ID1fqgk9.html,1800,APPLE IPOD SHUFFLE 2gb - just like new!
https://www.olx.in/item/apple-4k-tv-32-gb-brand-bew-sealed-box-ID1f4EKw.html,21000,Apple 4k tv 32 gb brand bew sealed box
https://www.olx.in/item/black-crt-tv-ID1fqgml.html,18000,Black CRT TV
https://www.olx.in/item/philips-fw-750c-hi-fi-small-complaint-ID1fqfVT.html,2500,Philips FW-750C Hi-fi ( Small Complaint)
https://www.olx.in/item/29-inch-godrej-tv-in-perfect-working-condition-ID1fqgpx.html,3500,29 inch Godrej TV in perfect working condition.
https://www.olx.in/item/price-can-be-negotiated-ID1fqgol.html,1500,Price can be negotiated
https://www.olx.in/item/sansui-a80-dc-servo-amplifier-power-output-65-watts-per-channel-ID1fqgr5.html,30000,"Sansui A80 , DC servo amplifier Power output: 65 watts per channel"
https://www.olx.in/item/redmi-mi-4-back-cover-with-mobile-ring-holder-ID1fqgmL.html,140,Redmi Mi 4 back cover with mobile ring holder
https://www.olx.in/item/pioneer-cdj-350-mixer-ID1fqglF.html,30000,Pioneer cdj 350 mixer
https://www.olx.in/item/black-speaker-set-ID1fqgu9.html,600,Black Speaker Set
https://www.olx.in/item/black-samsung-crt-tv-ID1fqgsR.html,6500,Black Samsung CRT TV
https://www.olx.in/item/32-inch-smart-led-tv-model-no-w600d-series-ID1fqgbF.html,11000,32 inch smart led TV model no.w600d series
https://www.olx.in/item/viewsonic-19-inch-led-monitor-new-condition-rare-ID1fqgrz.html,3499,ViewSonic 19 inch led monitor new condition rare
https://www.olx.in/item/24-inch-led-tv-ID1fqg81.html,8000,24 inch Led TV
https://www.olx.in/item/black-and-gray-lg-crt-tv-very-good-condition-tv-ID1fqgwx.html,6700,Black And Gray LG CRT TV very good condition TV
https://www.olx.in/item/readgear-gaming-headphones-ID1fqgut.html,1200,Readgear Gaming Headphones
https://www.olx.in/item/lg-53cm-tv-ID1fdXK9.html,2500,LG 53cm tv
https://www.olx.in/item/smart-tv-cardboard-box-ID1fqfDd.html,25000,Smart TV Cardboard Box
https://www.olx.in/item/hpflat-bed-scanner-6-months-old-very-good-condition-ID1fqfvz.html,2000,Hpflat bed scanner.6 months old.very good condition.
https://www.olx.in/item/more-information-call-me-ID1fqfqN.html,7999,More information call me
https://www.olx.in/item/lg-full-hd-smart-tv-50-inch-ID1fqfIB.html,54000,Lg Full Hd Smart Tv 50 Inch
https://www.olx.in/item/tv-in-good-condition-ID1eKKkZ.html,3000,Tv in good condition
https://www.olx.in/item/vincent-intergrated-sterieo-amplifier-sv-233-ID1er0K1.html,80000,Vincent intergrated sterieo amplifier sv 233
https://www.olx.in/item/made-in-germany-hohner-270-best-nr-00-170-180-vintage-super-chromoni-ID1f2Yxx.html,8790,Made In Germany HOHNER 270 Best.-Nr. 00.170.180 Vintage Super Chromoni
https://www.olx.in/item/32inch-led-brand-new-73-55-6-3-000-5-all-original-ID1fqfI9.html,11500,"32inch led brand new 73.55.6/3,000,5 all original"
https://www.olx.in/item/grey-crt-tv-ID1fqfHN.html,2700,Grey Crt Tv
https://www.olx.in/item/black-crt-tv-ID1fqfJZ.html,2000,Black CRT TV
https://www.olx.in/item/used-beetel-cb-69000-digital-cordless-telephone-with-answering-machine-ID1fqfLJ.html,1850,Used beetel CB 69000 digital cordless telephone with answering machine
https://www.olx.in/item/black-zebronics-bluetooth-speaker-ID1fqfIL.html,770,Black Zebronics Bluetooth Speaker
https://www.olx.in/item/dayanora-24-inch-led-box-peice-brand-new-ID19VGAj.html,9900,"Dayanora 24 inch led, box peice,brand new"
https://www.olx.in/item/black-and-gray-flat-screen-tv-ID1fqfLF.html,17000,Black And Gray Flat Screen TV
https://www.olx.in/item/5-1-channel-home-theatre-powered-by-sony-ID1fqfMW.html,26000,5.1 Channel Home Theatre Powered By Sony
https://www.olx.in/item/sony-led-ab-saste-daamo-mai-1year-warranty-with-bill-ke-saath-ID1fqfHJ.html,7499,Sony led ab saste daamo mai 1year warranty with bill ke saath
https://www.olx.in/item/color-t-v-lg-co-good-condition-ID1eNTI1.html,4000,Color T.V. LG CO. Good condition
https://www.olx.in/item/philips-music-system-aux-fm-good-working-ID1fqfRw.html,4500,Philips music system ..Aux. fm.good working ..
https://www.olx.in/item/speaker-for-sale-ID1fqfKN.html,600,Speaker for sale
https://www.olx.in/item/iball-music-system-ID1fqfQX.html,1000,IBall Music System
https://www.olx.in/item/speaker-stands-pair-brand-partington-uk-heavy-ID1fqfQw.html,9200,Speaker stands (pair) Brand Partington (UK) Heavy
https://www.olx.in/item/iball-clarity-headsets-box-ID1fqfc1.html,450,IBall Clarity Headsets Box
https://www.olx.in/item/gray-crt-tv-ID1fqfOt.html,7000,Gray CRT TV
https://www.olx.in/item/hathwya-set-boxs-2-no-good-canadian-ID1fqfTp.html,1300,"Hathwya set boxs,2.no..good Canadian"
https://www.olx.in/item/32-inch-smart-curved-samsung-sony-panel-led-tv-ID1fqfV5.html,15500,"32 inch smart curved samsung, sony panel led tv,"
https://www.olx.in/item/38-592-sivam-flat-odhav-ahmdabad-ID1fqfWZ.html,12000,38/592 sivam flat odhav ahmdabad
https://www.olx.in/item/black-panasonic-led-screen-tv-ID1fcFUj.html,22000,Black Panasonic LED screen TV
https://www.olx.in/item/new-sony-home-theater-21000-w-4-1-channel-dabba-ID1fqg1B.html,1450,New Sony Home Theater 21000 W & 4 1 Channel Dabba
https://www.olx.in/item/4pieces-of-cable-setupbox-its-good-working-ID1fqg2p.html,650,4pieces of cable setupbox its good working
https://www.olx.in/item/6-month-again-good-start-dvd-ID1fqg3d.html,1550,6 month again good start dvd
https://www.olx.in/item/crt-tv-for-sale-ID1fqg1z.html,1750,CRT TV for sale
https://www.olx.in/item/black-philips-crt-tv-ID1fqg3h.html,6000,Black Philips CRT TV
https://www.olx.in/item/gray-crt-tv-ID1fqf4J.html,2500,Gray CRT TV
https://www.olx.in/item/gray-crt-tv-ID1fqf5Z.html,5200,Gray CRT TV
https://www.olx.in/item/24-sony-full-hd-tv-full-hd-with-warranty-ID1ds2LF.html,6500,"24""Sony Full HD TV full hd with warranty"
https://www.olx.in/item/torch-led-battery-pawaani-peni-navi-1-price-50-rs-ID1fqf4r.html,50,Torch led battery pawaani peni navi 1 price 50 rs
https://www.olx.in/item/32-sony-led-smart-tv-full-hd-with-warranty-ID1djmqw.html,11999,"32""Sony LED Smart TV full hd with warranty"
